                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 1.0928,                 0.9897,                 1.2479,                0.72588,                0.67603,                0.70228,                0.41086,                 1.5997,                 1.2441,                 1.7434,             0.00024879,             0.00024879,             0.00024879
                     98,                 1.0993,                0.97909,                 1.2565,                 0.7677,                0.64406,                0.71237,                0.40371,                 1.6085,                 1.2203,                 1.7503,             0.00024439,             0.00024439,             0.00024439
                     99,                  1.091,                0.96756,                 1.2514,                0.72028,                0.66568,                0.69818,                0.39578,                 1.6019,                 1.2419,                 1.7625,             0.00023999,             0.00023999,             0.00023999
                    100,                  1.062,                0.96905,                 1.2437,                0.72754,                0.66462,                0.70604,                0.40919,                 1.6046,                 1.1974,                  1.771,             0.00023558,             0.00023558,             0.00023558
                    101,                 1.0665,                0.94882,                 1.2342,                0.68169,                0.68859,                0.70432,                0.40708,                 1.6186,                  1.215,                 1.7754,             0.00023118,             0.00023118,             0.00023118
                    102,                 1.0628,                0.92996,                  1.234,                0.75353,                 0.6516,                0.69068,                0.40526,                 1.6046,                   1.24,                 1.7751,             0.00022678,             0.00022678,             0.00022678
                    103,                 1.0697,                 0.9524,                 1.2408,                0.77555,                0.63374,                0.68495,                0.40027,                  1.609,                 1.2348,                 1.7697,             0.00022238,             0.00022238,             0.00022238
                    104,                 1.0597,                0.93481,                 1.2329,                0.78487,                 0.6616,                 0.6988,                0.40576,                 1.6094,                 1.2522,                 1.7794,             0.00021798,             0.00021798,             0.00021798
                    105,                 1.0532,                0.92506,                 1.2258,                0.75528,                0.67649,                0.71327,                0.41527,                 1.5928,                  1.214,                 1.7439,             0.00021357,             0.00021357,             0.00021357
                    106,                 1.0398,                0.90608,                 1.2174,                 0.7313,                0.70381,                0.72215,                0.42047,                  1.609,                 1.2031,                 1.7572,             0.00020917,             0.00020917,             0.00020917
                    107,                 1.0347,                0.90765,                  1.212,                0.71716,                0.68928,                0.71485,                0.41993,                 1.6249,                 1.2287,                 1.7739,             0.00020477,             0.00020477,             0.00020477
                    108,                 1.0356,                0.90661,                 1.2167,                0.76252,                0.64955,                0.69331,                0.40123,                 1.6234,                 1.2377,                 1.7866,             0.00020037,             0.00020037,             0.00020037
                    109,                 1.0451,                0.91881,                 1.2166,                0.68284,                0.68286,                0.70723,                0.40538,                 1.6149,                 1.2295,                 1.7796,             0.00019596,             0.00019596,             0.00019596
                    110,                 1.0417,                0.92643,                 1.2145,                0.76112,                0.66607,                 0.7081,                0.40839,                 1.6191,                 1.2351,                 1.7834,             0.00019156,             0.00019156,             0.00019156
                    111,                 1.0255,                 0.8854,                 1.2061,                0.74559,                0.68699,                0.72357,                0.42618,                 1.5859,                 1.2348,                  1.764,             0.00018716,             0.00018716,             0.00018716
                    112,                 1.0317,                0.89848,                 1.2103,                0.78429,                0.69072,                0.71587,                0.41663,                 1.5806,                 1.2028,                 1.7675,             0.00018276,             0.00018276,             0.00018276
